,economy,covid,sustainability,ukraine,france,ukrainian,emission
A.P. Møller - Mærsk sustain.txt,4,43,174,0,0,0,7
ALK-Abello sustain.txt,0,9,102,0,12,0,2
Alm. brand sustain.txt,0,10,0,0,0,0,0
Ambu sustain.txt,6,6,61,0,0,0,15
Bavarian Nordic sustain.txt,0,2,4,0,0,0,9
Bestseller sustain.txt,6,28,104,0,2,0,0
Boozt sustain.txt,0,3,96,0,0,0,8
Carlsberg sustain.txt,0,54,212,11,9,0,7
ChemoMetec sustain.txt,0,55,0,0,0,0,0
Chr. Hansen Holding sustain.txt,0,1,10,0,1,0,0
Coloplast sustain.txt,4,13,54,0,3,0,20
Danske bank sustain.txt,13,16,152,0,1,0,8
Demant sustain.txt,2,0,192,0,5,0,14
DFDS sustain.txt,0,5,18,0,0,0,18
DSV sustain.txt,0,20,12,0,0,0,7
FLSmidth sustain.txt,4,27,199,0,0,0,23
Genmab sustain.txt,0,29,7,0,0,0,0
GN Store Nord sustain.txt,3,9,92,0,0,0,0
H. Lundbeck sustain.txt,6,14,82,0,3,0,9
ISS sustain.txt,4,29,20,0,1,0,6
Jeudan sustain.txt,0,0,1,0,0,0,0
Jyske Bank sustain.txt,1,10,156,0,0,0,6
Netcompany sustain.txt,1,38,23,0,0,0,6
NKT sustain.txt,1,16,110,0,0,0,7
Nordea Bank sustain.txt,0,0,0,0,0,0,0
Novozymes sustain.txt,4,6,30,0,0,0,1
Pandora sustain.txt,2,10,94,0,0,0,17
Q8 sustain.txt,3,13,127,0,0,0,2
Ringkjøbing Landbobank sustain.txt,6,5,28,0,0,0,1
Rockwool sustain.txt,23,14,85,0,4,0,14
Salling Group sustain.txt,1,70,6,0,1,0,12
Scandinavian Tobacco Group sustain.txt,1,8,0,0,0,0,0
Schouw & Co sustain.txt,7,4,19,0,5,0,1
Simcorp sustain.txt,0,8,40,0,0,0,22
Spar Nord sustain.txt,1,7,4,0,0,0,0
Sydbank sustain.txt,2,1,48,0,0,0,18
The Drilling Company of 1972 sustain.txt,4,15,111,0,0,0,10
Topdanmark sustain.txt,0,28,23,0,0,0,14
Tryg sustain.txt,11,28,35,0,0,0,7
Vestas sustain.txt,6,16,189,0,0,0,14
Zealand Pharma sustain.txt,0,4,1,0,0,0,0
Ørsted sustain.txt,0,6,47,0,0,0,31
